s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_GEOM,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 6.3065079E+001, 1.2500493E+001,-3.5819384E+000,-3.5932512E+000,-2.4613546E+000, 2.5625020E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.8954769E+000, 2.8665114E+000, 6.5707755E-004, 6.5707755E-004
 6.3217773E+001, 1.2500342E+001,-3.5842760E+000,-3.6092969E+000,-2.4629177E+000, 2.5625391E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.8526444E+000, 2.8464137E+000, 6.5707755E-004, 6.5707755E-004
 6.3370464E+001, 1.2500259E+001,-3.8915335E+000,-3.6283614E+000,-2.4654779E+000, 2.5623449E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.8330871E+000, 2.5174483E+000, 6.5707755E-004, 6.5707755E-004
 6.3523155E+001, 1.2500224E+001,-3.8334133E+000,-3.6389635E+000,-2.4684851E+000, 2.5619324E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.5050168E+000, 2.5619243E+000, 6.5707755E-004, 6.5707755E-004
 6.3675846E+001, 1.2500193E+001,-3.8230325E+000,-3.6483006E+000,-2.4727427E+000, 2.5612445E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.5499438E+000, 2.5586783E+000, 6.5707755E-004, 6.5707755E-004
 6.3828537E+001, 1.2500167E+001,-3.8371388E+000,-3.6559373E+000,-2.4778138E+000, 2.5603255E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.5473701E+000, 2.5318375E+000, 6.5707755E-004, 6.5707755E-004
 6.3981232E+001, 1.2500152E+001,-3.8616914E+000,-3.6616461E+000,-2.4833387E+000, 2.5591613E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.5214192E+000, 2.4960350E+000, 6.5707755E-004, 6.5707755E-004
 6.4133919E+001, 1.2500143E+001,-3.8916346E+000,-3.6653445E+000,-2.4892628E+000, 2.5578515E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.4866497E+000, 2.4564586E+000, 6.5707755E-004, 6.5707755E-004
 6.4286613E+001, 1.2500132E+001,-3.9145755E+000,-3.6668390E+000,-2.4950488E+000, 2.5564389E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.4482917E+000, 2.4262253E+000, 6.5707755E-004, 6.5707755E-004
 6.4439308E+001, 1.2500128E+001,-3.9417984E+000,-3.6663533E+000,-2.5004117E+000, 2.5549562E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.4192036E+000, 2.3941194E+000, 6.5707755E-004, 6.5707755E-004
 6.4591995E+001, 1.2500128E+001,-3.9694775E+000,-3.6638861E+000,-2.5054806E+000, 2.5534273E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.3883742E+000, 2.3638373E+000, 6.5707755E-004, 6.5707755E-004
 6.4744690E+001, 1.2500138E+001,-3.9943905E+000,-3.6597015E+000,-2.5104760E+000, 2.5518568E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.3589668E+000, 2.3381219E+000, 6.5707755E-004, 6.5707755E-004
 6.4897377E+001, 1.2500201E+001,-4.0128244E+000,-3.6541665E+000,-2.5155575E+000, 2.5500999E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.3338422E+000, 2.3202025E+000, 6.5707755E-004, 6.5707755E-004
 6.5050072E+001, 1.2500281E+001,-4.0290458E+000,-3.6477481E+000,-2.5207927E+000, 2.5481198E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.3164463E+000, 2.3052426E+000, 6.5707755E-004, 6.5707755E-004
 6.5202766E+001, 1.2500340E+001,-4.0284153E+000,-3.6405904E+000,-2.5265444E+000, 2.5458112E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.3014758E+000, 2.3073359E+000, 6.5707755E-004, 6.5707755E-004
 6.5355453E+001, 1.2500367E+001,-4.0445730E+000,-3.6338691E+000,-2.5294708E+000, 2.5431481E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.3042457E+000, 2.2949970E+000, 6.5707755E-004, 6.5707755E-004
 6.5508148E+001, 1.2500365E+001,-4.0638410E+000,-3.6278572E+000,-2.5363018E+000, 2.5399856E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.2890641E+000, 2.2749054E+000, 6.5707755E-004, 6.5707755E-004
 6.5660835E+001, 1.2500348E+001,-4.0804978E+000,-3.6231044E+000,-2.5431946E+000, 2.5362213E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.2685483E+000, 2.2560874E+000, 6.5707755E-004, 6.5707755E-004
 6.5813530E+001, 1.2500300E+001,-4.1111488E+000,-3.6206445E+000,-2.5499947E+000, 2.5318550E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.2491885E+000, 2.2210436E+000, 6.5707755E-004, 6.5707755E-004
 6.5966225E+001, 1.2500245E+001,-3.7678638E+000,-3.6151529E+000,-2.5535543E+000, 2.5273212E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.2133835E+000, 2.5662016E+000, 6.5707755E-004, 6.5707755E-004
 6.6118912E+001, 1.2500173E+001,-3.9183013E+000,-3.6209567E+000,-2.5601017E+000, 2.5240288E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.5553949E+000, 2.4033378E+000, 6.5707755E-004, 6.5707755E-004
 6.6286873E+001, 1.2132597E+001,-4.0170201E+000,-3.6365538E+000,-2.5653351E+000, 2.5240158E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.3912391E+000, 1.9162116E+000, 6.5707755E-004, 6.5707755E-004
 6.6454834E+001, 1.2325432E+001,-3.9520670E+000,-3.6438916E+000,-2.5671597E+000, 2.5272588E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.9038533E+000, 2.1648412E+000, 6.5707755E-004, 6.5707755E-004
 6.6622795E+001, 1.2417056E+001,-3.9675128E+000,-3.6583167E+000,-2.5689599E+000, 2.5314486E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.1505310E+000, 2.2247983E+000, 6.5707755E-004, 6.5707755E-004
 6.6790756E+001, 1.2460604E+001,-3.9599124E+000,-3.6770727E+000,-2.5695915E+000, 2.5355863E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.2091449E+000, 2.2565624E+000, 6.5707755E-004, 6.5707755E-004
 6.6958717E+001, 1.2481318E+001,-3.9089785E+000,-3.6994622E+000,-2.5693973E+000, 2.5390959E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.2393027E+000, 2.3060187E+000, 6.5707755E-004, 6.5707755E-004
 6.7126678E+001, 1.2549516E+001,-3.8189277E+000,-3.7242201E+000,-2.5696952E+000, 2.5418324E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.2869627E+000, 2.4392150E+000, 6.5707755E-004, 6.5707755E-004
 6.7294640E+001, 1.2813602E+001,-3.3408500E+000,-3.7420261E+000,-2.5711607E+000, 2.5438796E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.4181437E+000, 3.1621086E+000, 6.5707755E-004, 6.5707755E-004
 6.7462601E+001, 1.2773419E+001,-4.8184463E+000,-3.8003898E+000,-2.5746120E+000, 2.5453316E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.1380932E+000, 1.5825164E+000, 6.5707755E-004, 6.5707755E-004
